Word,Freq,Freq in %
health,1,0.444444,
question,1,0.444444,
presentation,1,0.444444,
passed,1,0.444444,
need,1,0.444444,
long,1,0.444444,
letter,1,0.444444,
lazy,1,0.444444,
last,1,0.444444,
idea,1,0.444444,
horns,1,0.444444,
hope,1,0.444444,
helpful,1,0.444444,
read,1,0.444444,
haven't,1,0.444444,
had,1,0.444444,
habit,1,0.444444,
glad,1,0.444444,
from,1,0.444444,
form,1,0.444444,
find,1,0.444444,
exercises,1,0.444444,
example,1,0.444444,
every,1,0.444444,
enough,1,0.444444,
think,1,0.444444,
you've,1,0.444444,
you'll,1,0.444444,
written,1,0.444444,
with,1,0.444444,
will,1,0.444444,
weeks,1,0.444444,
way,1,0.444444,
was,1,0.444444,
usually,1,0.444444,
total,1,0.444444,
this,1,0.444444,
20,1,0.444444,
they,1,0.444444,
thank,1,0.444444,
test,1,0.444444,
takes,1,0.444444,
take,1,0.444444,
such,1,0.444444,
sorry,1,0.444444,
soon,1,0.444444,
something,1,0.444444,
rule,1,0.444444,
regular,1,0.444444,
If,1,0.444444,
As,1,0.444444,
By,1,0.444444,
Congratulations,1,0.444444,
appreciated,1,0.444444,
Dear,1,0.444444,
Don't,1,0.444444,
For,1,0.444444,
Hope,1,0.444444,
I've,1,0.444444,
Besides,1,0.444444,
Paul,1,0.444444,
So,1,0.444444,
about,1,0.444444,
Take,1,0.444444,
Victor,1,0.444444,
Unfortunately,1,0.444444,
Thank,1,0.444444,
There,1,0.444444,
be,1,0.444444,
during,1,0.444444,
driving,1,0.444444,
don't,1,0.444444,
0,1,0.444444,
days,1,0.444444,
21,1,0.444444,
3,1,0.444444,
come,1,0.444444,
care,1,0.444444,
by,1,0.444444,
busy,1,0.444444,
350,1,0.444444,
bull,1,0.444444,
brilliant,1,0.444444,
50,1,0.444444,
best,1,0.444444,
been,1,0.444444,
back,1,0.444444,
I'm,2,0.888889,
say,2,0.888889,
try,2,0.888889,
project,2,0.888889,
if,2,0.888889,
pages,2,0.888889,
just,2,0.888889,
new,2,0.888889,
advice,2,0.888889,
result,2,0.888889,
least,2,0.888889,
and,2,0.888889,
hear,2,0.888889,
all,2,0.888889,
that,3,1.33333,
is,3,1.33333,
it,3,1.33333,
week,3,1.33333,
minutes,3,1.33333,
30,3,1.33333,
my,3,1.33333,
day,3,1.33333,
end,3,1.33333,
really,3,1.33333,
time,4,1.77778,
we,4,1.77778,
do,4,1.77778,
at,5,2.22222,
of,5,2.22222,
have,6,2.66667,
I,6,2.66667,
a,6,2.66667,
your,6,2.66667,
for,7,3.11111,
you,8,3.55556,
to,9,4,
the,10,4.44444,
